alias,kind,language
utca,street,hu
u.,street,hu
u,street,hu
út,road,hu
útja,road,hu
ú.,road,hu
tér,square,hu
t.,square,hu
körút,boulevard,hu
krt.,boulevard,hu
krt,boulevard,hu
sétány,promenade,hu
sgt.,avenue,hu
sugárút,avenue,hu
körönd,roundabout,hu
lejtő,slope,hu
lépcső,steps,hu
dűlő,path,hu
fasor,alley,hu
köz,passage,hu
rakpart,quay,hu
sor,row,hu
park,park,hu
rendelő,office,hu
liget,grove,hu
utcája,street,hu
utcáját,street,hu
street,street,en
st.,street,en
st,street,en
road,road,en
rd.,road,en
rd,road,en
avenue,avenue,en
ave.,avenue,en
ave,avenue,en
av.,avenue,en
boulevard,boulevard,en
blvd.,boulevard,en
blvd,boulevard,en
lane,lane,en
ln.,lane,en
ln,lane,en
drive,drive,en
dr.,drive,en
place,place,en
pl.,place,en
square,square,en
sq.,square,en
way,way,en
terrace,terrace,en
court,court,en
ct.,court,en
alley,alley,en
parkway,parkway,en
crescent,crescent,en
close,close,en
mews,mews,en
calle,street,es
c/,street,es
c.,street,es
avenida,avenue,es
av.,avenue,es
avda.,avenue,es
plaza,square,es
pza.,square,es
paseo,promenade,es
po.,promenade,es
ronda,ring road,es
camino,road,es
bulevar,boulevard,es
callejón,alley,es
glorieta,roundabout,es
vía,way,es
travesía,bypass,es
carretera,highway,es
ctra.,highway,es
